OBJECT_ID,Death_Rate,RF_Rate
125,0.000352578,0.000861847
126,0.000360166,0.001436082
127,0.000342466,0.001645893
128,0.005169443,0.001002846
129,0.001150086,0.000945385
130,0.000343903,0.000985765
133,0.000347174,0.000469144
135,0.000534474,0.00114585
138,0.002029169,0.001511625
140,0.002957784,0.001148965
141,0.001229696,0.001498882
142,0.001609269,0.000885544
143,0.000667111,0.000825023
145,0.000787867,0.000308093
146,0.002391486,0.001337153
147,0.001553303,0.000731198
148,0.000448682,0.001157321
149,0.000166389,0.000727887
150,0.001013954,0.001298923
151,0.00088336,0.000651128
152,0.00010457,0.000850024
153,0.003080835,0.001053678
154,0.000417304,0.00091622
156,0.003327172,0.000841894
157,0.000500918,0.00094423
158,0.001644737,0.001269782
159,0.001426534,0.000729349
160,0.000181291,0.001169315
161,0.000576568,0.000754359
162,0.000127275,0.001050675
163,0.003723881,0.000973836
164,0.000947508,0.001451268
165,0,0.000698893
166,0.001797996,0.001473662
167,0.000895055,0.001038364
168,0.000441112,0.000669956
169,0.000460193,0.001251523
170,0.000610687,0.000622373
171,0,0.000802916
172,0.001451769,0.000725996
173,0.000407539,0.000906993
174,0.00110205,0.000644545
175,0.001932348,0.00127104
176,0.003630568,0.000762606
178,0.001054729,0.000829231
179,0.00055768,0.00080348
180,0.000587337,0.000484468
181,0.00193783,0.001293734
182,0.000132873,0.000879927
184,0.001329787,0.000889484
185,0.001569448,0.001124412
187,0,0.000924363
189,0.001298975,0.000929944
191,0.000417816,0.000875519
203,0.000923129,0.001443906
207,0.002127562,0.00121935
223,0.000822143,0.00084174
225,0.001002255,0.000922192
231,0.001013342,0.00086751
233,0.000998784,0.000935819
236,0.002866429,0.00109525
237,0.000784929,0.000782888
238,0.001616162,0.001024779
239,0.000580645,0.001382122
243,0,0.000670639
244,0.000483734,0.001052367
245,0,0.00086809
246,0.000442796,0.001046026
247,0.001450852,0.000498072
250,0.000704846,0.000943303
256,0.000571592,0.001012376
257,0.001276945,0.001142662
258,0.000624961,0.001149339
259,0.00026036,0.000992506
260,0.001293103,0.001265484
261,0.001296556,0.001335549
262,0,0.00053567
263,0.002051984,0.001322221
264,0,0.001333647
265,0.001429593,0.001768649
266,0.000948253,0.001098587
267,0.000648275,0.0009546
268,0.000651042,0.001590553
269,0.000448934,0.000593295
270,0,0.000617695
271,0.002651031,0.001866879
272,0.002227171,0.001425476
273,0.000213554,0.001069246
274,0.000684262,0.001228928
275,0.000661667,0.001323282
276,0.001922007,0.000769991
277,0.000770416,0.00035182
278,0.000994171,0.000742522
279,0.00057923,0.001174068
280,0.001263608,0.001511118
281,0.002034329,0.00130148
282,0.000668026,0.001632631
283,0.001586241,0.001344938
284,0.001229387,0.001653135
285,0.00238932,0.001472172
286,0.001117016,0.001561544
287,0,0.000429776
288,0.004638741,0.001602341
289,0,0.001127632
290,0.001778004,0.00167096
291,0,0.000421408
292,0.001674341,0.00154784
293,0.002243755,0.002012728
294,0.000372301,0.000799682
295,0,0.000509279
296,0.001551713,0.001371236
297,0,0.000880548
298,0.00156658,0.001816379
299,0.002700014,0.001446479
300,0.000461042,0.00139211
301,0.000924343,0.001755197
302,0.002483855,0.001086015
303,0,0.000501978
304,0.000736323,0.001402211
305,0.000890585,0.001268571
307,0.003997668,0.001309963
308,0.000619707,0.001194174
309,0.003776978,0.00109275
310,0,0.000931348
311,0.001405764,0.001241482
313,0.000980272,0.001538172
314,0.00328832,0.002061209
315,0.000391022,0.00116276
316,0.004432757,0.001723519
317,0.001025491,0.001569286
318,0.001167596,0.00169772
319,0.000257666,0.000538903
321,0,0.000514654
322,0.00053644,0.001224421
323,0.001263932,0.001397399
324,0,0.000663386
326,0.001217901,0.00159246
328,0,0.000878535
329,0.000497203,0.000952411
330,0,0.000440205
331,0.000775795,0.001336392
332,0.00038835,0.001493771
333,0.000172058,0.000429882
334,0.000520969,0.00095135
335,0.000582783,0.001670539
336,0.001089413,0.001275372
337,0.000297796,0.001128547
338,0.000302645,0.001430935
341,0.001574911,0.001533567
342,0.002960748,0.002129219
343,0.002221578,0.001940277
344,0,0.000493581
345,0.003588405,0.001857769
346,0.003017977,0.002069177
348,0.002696441,0.002172146
349,0.002827604,0.001630918
352,0.002484472,0.001726081
353,0.001824162,0.001709108
354,0.002345373,0.002174952
356,0.002629059,0.002143063
357,0.003927448,0.001794212
359,0.001186709,0.000989712
361,0.000947867,0.001245225
363,0.001264134,0.001368705
364,0.002399726,0.001384214
368,0.001380349,0.001231541
370,0.001400731,0.001572923
371,0.001041899,0.001514565
378,0.001353215,0.001166809
381,0.004420704,0.000912476
390,0.000604686,0.001334332
399,0.002270906,0.001064617
400,0.000376223,0.000409281
409,0.000298864,0.000980801
433,0.000490162,0.000766803
434,0,0.000468517
437,0,0.000741061
462,0.000312793,0.000635632
468,0.000863185,0.000671888
470,0.000641026,0.000617228
472,0.000418585,0.000506166
473,0,0.001415984
474,0.000317662,0.0007228
475,0,0.000427868
477,0.000382214,0.000605125
480,0.000534759,0.000847614
481,0.004307116,0.000481018
482,0.00050025,0.000973422
483,0.000270076,0.000639976
484,9.15E-05,0.000869438
486,0.001413718,0.001868422
487,0.001278104,0.001888982
488,0.003025719,0.002214582
489,0.002995618,0.001867561
490,0.002362535,0.002167937
491,0.001969917,0.001892113
492,0.001517067,0.001167594
493,0.00061488,0.00040676
494,0,0.000557894
495,0.000533049,0.000469566
496,0.000314525,0.000534203
498,0.003204195,0.001164465
499,0.001038041,0.001323508
508,0.001445087,0.002052383
509,0.000651148,0.000620484
512,0.00082195,0.001000622
514,0.001450188,0.001323773
515,0.003226345,0.001691733
519,0.002976899,0.000958889
525,0.000232992,0.001165842
528,0.000520901,0.001241172
529,0.000438789,0.000834252
530,0.000380319,0.000820321
531,0.002989715,0.00082123
532,0.000414365,0.000803132
533,0.000985173,0.001735228
534,0.000561877,0.001273777
536,0.000487805,0.001243384
537,0.003960676,0.000778065
538,0.000168776,0.000347268
539,0.001550846,0.000945867
543,0.00143872,0.001488364
544,0,0.000532542
545,0.000164204,0.001074317
546,0.000267237,0.001432566
547,0.00022477,0.000666166
550,0.003354786,0.00135566
551,0.00104132,0.000979051
553,0.000132485,0.001212062
554,0.000997396,0.001130696
555,0.000396668,0.000845869
556,0.00047186,0.000437428
561,0.001241037,0.001198312
562,0.001390719,0.001443212
563,0.001020871,0.001019087
565,0.001086661,0.001031093
