OBJECT_ID,NO2_ShapEffect,Resp_Risk_ShapEffect,NPL_Prox_ShapEffect,Traffic_Prox_ShapEffect,Noise_Level_ShapEffect,SVI_Overall_ShapEffect
20,0.0008833913232902031,0.0009265248338772129,0.0010437327352849925,0.0009736805529963833,0.000926316802523849,0.0015680841437820904
21,0.0009569301767281876,0.0008701869021751785,0.0010622124091592207,0.0009921215471636572,0.0009603187107792019,0.001234342639422874
22,0.001022114534612101,0.0009900067953064957,0.0009750016872958128,0.0011737928610876947,0.0010759702255839947,0.0012884348570525914
23,0.0010331953445182195,0.0011176579224736376,0.001008051509155918,0.0011662793518781188,0.0010419744837673948,0.001110958927863942
24,0.0011546313795416756,0.0011344925005403737,0.0011844100349426997,0.0011685275974438211,0.001094172186196911,0.0012821873912215761
25,0.0008853987568940875,0.0012376914690510124,0.001081293325792274,0.0009548571269848843,0.0008808492031123539,0.0014449599093103206
26,0.001065092424147575,0.0010245271405166423,0.0010548663288567788,0.0011035544064820378,0.0011280324103763947,0.0015267956600293633
27,0.0009082395695947096,0.000926469421908022,0.001073259596740646,0.000977831393061443,0.0010250436289883217,0.0012200631733734193
28,0.000670404118431903,0.0007530998216146308,0.0009277423731516532,0.0009047583635477035,0.0010508576736915339,0.0011619915639757119
29,0.0008738885162259824,0.0009288083628890031,0.0010180115461426583,0.00097761860217739,0.0009301851836479941,0.0011690248979832907
30,0.0008234373653840422,0.0009264784324348165,0.0011879376336569485,0.0011796659101693785,0.0011196403597824845,0.0015891103295899247
31,0.0010188207924029093,0.0009779347944560497,0.0010002027311148383,0.001026567902520654,0.0010881373244868591,0.0010793989104082046
32,0.0010121369182840127,0.001058083725293063,0.0011403506199861102,0.0011011068088693202,0.001130392702181306,0.0015641783058860334
33,0.0008455085641717996,0.0009394273445887675,0.0010433669562580376,0.0009907744043050315,0.0011012013538870442,0.0012541202124824488
34,0.0006453948734926829,0.0006667914342196623,0.0010067907275987222,0.0008874827283546867,0.0010068072042014552,0.0012432975723111125
35,0.0006798116839074247,0.0007140655306376574,0.0009831459224922067,0.0009087993815908345,0.0009328682259378903,0.001276175470633889
36,0.0007698041186395734,0.0012078626569234938,0.001214046713396752,0.0010394464720377855,0.0010979249936496683,0.0016417958575151198
37,0.0009962118014447943,0.0008894595502278987,0.0011942967942404408,0.001043940644039471,0.0011029450307911159,0.0010400092501991792
