OBJECT_ID,NO2_ShapEffect,Resp_Risk_ShapEffect,NPL_Prox_ShapEffect,Traffic_Prox_ShapEffect,Noise_Level_ShapEffect,SVI_Overall_ShapEffect
20,0.0008453611914086866,0.000826521536411678,0.0009462569515938028,0.0008732720695988794,0.0008594003479370446,0.0013060928510985736
21,0.0008772320644610222,0.0009111965762034738,0.0009535294309896587,0.0008982230873003337,0.000853754640504682,0.0010806758055788334
22,0.001032041431660948,0.0009345320175906441,0.000946273063647824,0.001086834756204729,0.0010367045133292305,0.0010894721142917384
23,0.000987961533995221,0.000966388239785941,0.0009765318075619216,0.0011067543445169449,0.0010436591425668294,0.0010139196554566797
24,0.0011336269722963762,0.0010363131613527763,0.0011015646104003904,0.0011175255876327403,0.0010955190765345223,0.0011338795581724282
25,0.0008272196563704158,0.0009768139533309582,0.0009589259873631774,0.000895558922947365,0.0008603817396493002,0.0012561843015430937
26,0.0010062481922835133,0.0009000222464748714,0.0009350116911172329,0.0010893451187696894,0.001043370232827597,0.0013118853939948086
27,0.0008019587634686054,0.0008636087808744712,0.0009470992892666844,0.0008851089149215639,0.0008383437036536948,0.0010566554383008803
28,0.0007639011547283338,0.0007473884955887242,0.0009491274813955928,0.0008248678704542159,0.0008287545229267433,0.0010715544278855872
29,0.0008223282855834662,0.0008211954676767091,0.0009516429843760433,0.0008840251965778799,0.0008512449709891101,0.0010520702541819474
30,0.0008516990569148822,0.0009016263705891999,0.001081676452438171,0.001065348666307585,0.0010214636696906285,0.0013155271836045742
31,0.0009751163856363902,0.0009150017192219992,0.0009319495587410946,0.0009755718107865028,0.0009453720424822544,0.001028869288646723
32,0.0009271652868629275,0.0009222080803074536,0.0009571613890050941,0.001050817417008241,0.0010316112599496143,0.0013223609704068363
33,0.0008037789289637564,0.0008804924580717477,0.0009489866457792487,0.0008891952237471685,0.0009685567064172971,0.0010964992910994942
34,0.000737312254868507,0.0007737652701250731,0.0009792884689929385,0.0008377045657421843,0.0008886336006932621,0.0011309063966371494
35,0.0007414750839358106,0.0008018736456585076,0.0009389298031589237,0.0008324515051955116,0.0008444127885375271,0.0011064776781067019
36,0.0008032003033267528,0.0010332787916910518,0.0011007736329648752,0.0009684092313737059,0.001013834580427641,0.0013117294690818209
37,0.0009295723635831595,0.0008417810973880622,0.001042431298019333,0.0009580148665811023,0.0009901997010729176,0.00101258510356679
38,0.0008432554345106629,0.0008531091149702805,0.0009510978143010513,0.0008890251382409164,0.0008540914223893664,0.000993965328711554
39,0.000808495336892706,0.0008197576979058878,0.0009624154651970524,0.0008656733400665771,0.0009148402751394651,0.0010997625247377912
40,0.0008017978184694339,0.0008774278293454457,0.001112697316823845,0.0008406349640858971,0.0009376768687981731,0.001032999128014683
41,0.0008692247352507622,0.0008577740083175122,0.0011133039223551688,0.0009768331797977965,0.0010368441454573418,0.0013361619560246902
42,0.0007910158652228,0.000838321985558758,0.0009336631231775769,0.0008525516924411233,0.0008435361367634094,0.0010582368610673007
43,0.0008053344371386191,0.0008407759053998913,0.0009541655993736285,0.000878367331927928,0.0009002565683767395,0.0010670087245164012
44,0.0009331083395951673,0.0008855707652953031,0.0009199677318417078,0.000986518247319735,0.0009516208891527477,0.001041657442463934
45,0.0008749568144310069,0.0008626420789116256,0.00092596047329427,0.0010582340189624014,0.0009945387696455974,0.0012976672777664999
46,0.000868993354635454,0.0008891499248627148,0.0010986425141386999,0.0009450739983507583,0.0010617516495205468,0.001098334218664793
47,0.0007655211247101534,0.0010107326510571599,0.001078424976247423,0.0008381513605923125,0.0008918397863499845,0.001263152391523045
48,0.0008027292360558307,0.0008588405341560699,0.0009471652974772341,0.0009500764079138388,0.0009825517542145148,0.0010653310644770414
49,0.0007461169202342758,0.0007891182015844147,0.0009475449305893237,0.0008461059900785018,0.0008232181293159629,0.0010670633144526816
50,0.0009286684107462605,0.0008546344419739225,0.0009493864435011489,0.0009665961146091705,0.0009470655988226179,0.0010716646161563266
51,0.0007686373410877725,0.0011681169028219358,0.0010790009385249957,0.0009474257074183862,0.0009538987469762427,0.0010671606657446724
53,0.0008002644708964797,0.0009052375091520085,0.001076649603300688,0.0009542377553009081,0.0009342651619334203,0.0010637184712015831
54,0.0009676799720310567,0.0010925265159849708,0.0010458299326056109,0.0011139515964584939,0.0010678058875244736,0.001132144099553473
55,0.000787182477259569,0.0008366408669598098,0.0009795248245804552,0.0008645442893858073,0.0008819195943534943,0.0010691029128116725
57,0.0008298192823742458,0.0009124150792271422,0.0009773932102171735,0.0008611010235212238,0.0008588628457058074,0.001081590852033075
58,0.0008811395200684756,0.0008775659759747861,0.0009712937215010453,0.0009448421993957818,0.0008966489630511241,0.0010585480481159523
60,0.0009719998824267623,0.0011260746127300012,0.0010482501092756666,0.0009562774708533769,0.0009379784863148811,0.001071988965834665
61,0.0008330672677282027,0.0008317129345925894,0.001046772034509898,0.0009203116399293384,0.0009848574807996599,0.001066158127553864
62,0.0010195111461917547,0.0008472585205751631,0.0009211196541811413,0.0009972025130822477,0.0010256141096263345,0.0009699632853894909
63,0.0008441872236850574,0.0008356350863140485,0.000917698237545589,0.0009449188578019793,0.0009121468281882727,0.0010086292378742687
